docId,tokenCount
0,27
1,8
2,16
3,11
4,22
5,12
6,11
7,24
8,19
9,17
10,32
11,36
12,37
13,32
14,11
15,11
16,15
17,20
18,23
19,13
20,18
21,23
22,14
23,16
24,15
25,19
26,21
27,8
28,11
29,17
30,39
31,23
32,8
33,8
34,14
35,23
36,17
37,10
38,28
39,31
40,15
41,35
42,26
43,17
44,22
45,15
46,37
47,32
48,33
49,18
50,18
51,11
52,37
53,15
54,15
55,14
56,21
57,30
58,31
59,18
60,11
61,17
62,12
63,18
64,11
65,36
66,21
67,23
68,12
69,13
70,13
71,10
72,13
73,13
74,12
75,13
76,22
77,9
78,22
79,15
80,13
81,16
82,16
83,27
84,27
85,11
86,18
87,38
88,20
89,14
90,20
91,25
92,29
93,23
94,22
95,35
96,30
97,20
98,16
99,17
100,8
101,29
102,11
103,29
104,26
105,30
106,14
107,6
108,15
109,26
110,13
111,8
112,12
113,13
114,21
115,12
116,10
117,17
118,14
119,15
120,15
121,11
122,24
123,13
124,33
125,19
126,25
127,12
128,13
129,18
130,21
131,17
132,13
133,18
134,16
135,13
136,16
137,18
138,13
139,16
140,13
141,14
142,18
143,19
144,15
145,18
146,14
147,18
148,16
149,14
150,13
151,18
152,15
153,17
154,18
155,23
156,14
157,11
158,19
159,20
160,13
161,17
162,22
163,15
164,15
165,13
166,8
167,15
168,25
169,31
170,35
171,21
172,32
173,31
174,10
175,16
176,16
177,18
178,15
179,12
180,14
181,16
182,11
183,18
184,16
185,18
186,18
187,14
188,11
189,13
190,10
191,13
192,16
193,16
194,12
195,14
196,10
197,16
198,14
199,18
200,28
201,12
202,12
203,19
204,24
205,18
206,19
207,24
208,28
209,22
210,20
211,22
212,47
213,35
214,30
215,34
216,15
217,21
218,25
219,28
220,17
221,32
222,20
223,18
224,14
225,10
226,13
227,14
228,19
229,16
230,14
231,16
232,12
233,14
234,10
235,20
236,20
237,21
238,19
239,9
240,20
241,17
242,13
243,15
244,20
245,15
246,35
247,13
248,32
249,14
250,8
251,13
252,18
253,35
254,10
255,10
256,23
257,20
258,19
259,20
260,20
261,18
262,17
263,14
264,13
265,13
266,14
267,14
268,27
269,25
270,31
271,20
272,30
273,11
274,24
275,37
276,13
277,32
278,16
279,10
280,12
281,23
282,17
283,12
284,14
285,8
286,5
287,17
288,20
289,18
290,15
291,26
292,20
293,15
294,12
295,31
296,34
297,18
298,13
299,14
300,14
301,24
302,19
303,30
304,29
305,21
306,36
307,20
308,25
309,22
310,9
311,23
312,27
313,26
314,16
315,10
316,34
317,22
318,28
319,23
320,16
321,16
322,16
323,24
324,10
325,19
326,19
327,23
328,8
329,33
330,37
331,35
332,20
333,21
334,37
335,37
336,23
337,11
338,10
339,25
340,35
341,18
342,25
343,33
344,32
345,15
346,19
347,17
348,33
349,16
350,15
351,19
352,14
353,15
354,20
355,15
356,20
357,23
358,15
359,15
360,15
361,19
362,30
363,28
364,33
365,28
366,18
367,13
368,18
369,33
370,33
371,14
372,25
373,18
374,14
375,16
376,12
377,18
378,14
379,11
380,18
381,11
382,12
383,14
384,10
385,18
386,14
387,12
388,14
389,15
390,16
391,12
392,14
393,12
394,26
395,12
396,20
397,18
398,33
399,9
400,15
401,31
402,32
403,35
404,12
405,17
406,14
407,13
408,18
409,13
410,18
411,8
412,20
413,16
414,9
415,29
416,16
417,9
418,20
419,16
420,18
421,16
422,16
423,18
424,10
425,10
426,22
427,23
428,16
429,29
430,37
431,14
432,24
433,21
434,24
435,17
436,27
437,22
438,15
439,24
440,26
441,25
442,14
443,19
444,5
445,11
446,19
447,31
448,14
449,13
450,26
451,16
452,13
453,16
454,13
455,15
456,27
457,11
458,22
459,6
460,26
461,14
462,16
463,14
464,14
465,13
466,13
467,16
468,18
469,17
470,16
471,22
472,14
473,13
474,20
475,32
476,11
477,20
478,18
479,17
480,16
481,25
482,22
483,10
484,18
485,35
486,9
487,16
488,10
489,26
490,55
491,35
492,35
493,18
494,19
495,12
496,18
497,31
498,18
499,11
500,9
501,17
502,10
503,25
504,15
505,24
506,12
507,13
508,11
509,18
510,14
511,11
512,9
513,31
514,17
515,18
516,19
517,12
518,14
519,14
520,13
521,15
522,16
523,27
524,12
525,25
526,13
527,42
528,25
529,17
530,14
531,13
532,11
533,30
534,21
535,35
536,23
537,20
538,20
539,24
540,14
541,12
542,34
543,16
544,24
545,27
546,15
547,15
548,6
549,28
550,15
551,12
552,24
553,33
554,34
555,13
556,10
557,17
558,24
559,37
560,37
561,18
562,12
563,18
564,19
565,39
566,23
567,15
568,11
569,14
570,11
571,13
572,20
573,14
574,9
575,16
576,10
577,12
578,17
579,19
580,17
581,10
582,24
583,20
584,13
585,16
586,14
587,14
588,31
589,13
590,17
591,17
592,13
593,13
594,23
595,18
596,17
597,20
598,16
599,13
600,22
601,14
602,14
603,17
604,19
605,19
606,16
607,16
608,11
609,11
610,12
